TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;37.235.820/0001-72;BRAM FUNDO DE INVESTIMENTO MULTIMERCADO OURO USD;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;83766.17;;;Outros;999 X 999
FI;37.235.861/0001-69;BRAM FUNDO DE INVESTIMENTO MULTIMERCADO OURO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;106752.89;;;Outros;999 X 999
FI;38.075.003/0001-67;SAF GLOBAL WEALTH FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;18261.04;;;SCP;DOL X PRE
FI;38.860.913/0001-50;BRAM FUNDO DE INVESTIMENTO MULTIMERCADO CREDIT GREEN;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;170420.49;;;Outros;999 X 999
FI;39.774.017/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO BOLSA DE VALORES IV MULTIMERCADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;307698.21;;;SDP;DI1 X PRE
FI;40.021.855/0001-13;BB TOP MULTIMERCADO CARBONO LONGO PRAZO FUNDO DE INVESTIMENTO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2561749.14;;;SSE;SEL X REU
FI;40.963.243/0001-40;BOLSA AMERICANA + IPCA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;16582810.88;;;SCP;DOL X PRE
FI;41.733.441/0001-80;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO CESTA AGRO MULTIMERCADO LONGO PRAZO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2905567.02;;;SDP;DI1 X PRE
FI;41.736.872/0001-08;SPS III FEEDER C - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;9294.52;;;SCP;DOL X PRE
FI;41.736.872/0001-08;SPS III FEEDER C - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3953.23;;;SCP;DOL X PRE
FI;41.745.156/0001-89;BRIDGEWATER DIVERSIFIED MACRO PORTFOLIO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIME;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3586275.79;;;SCP;DOL X PRE
FI;41.745.156/0001-89;BRIDGEWATER DIVERSIFIED MACRO PORTFOLIO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIME;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;54355258.77;;;SCP;DOL X PRE
FI;41.907.150/0001-60;CITRINO FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;42.120.343/0001-30;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO BOLSA DE VALORES V MULTIMERCADO LONGO PRAZO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;474924.86;;;SDP;DI1 X PRE
FI;42.120.363/0001-00;FUNDO DE INVESTIMENTO CAIXA MASTER HEDGE II MULTIMERCADO LONGO PRAZO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;262701.69;;;Outros;999 X 999
FI;42.404.779/0001-50;SPS III FEEDER B - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;13339.16;;;SCP;DOL X PRE
FI;42.404.779/0001-50;SPS III FEEDER B - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5673.53;;;SCP;DOL X PRE
FI;42.405.550/0001-30;SPS III FEEDER A - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;11954.16;;;SCP;DOL X PRE
FI;42.405.550/0001-30;SPS III FEEDER A - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5084.44;;;SCP;DOL X PRE
FI;44.273.805/0001-84;BRAM ALOCAÇÃO SISTEMÁTICA FUNDO DE INVESTIMENTO MULTIMERCADO PRÊMIO DE RISCO ALTERNATIVO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;538974.09;;;Outros;999 X 999
FI;44.273.805/0001-84;BRAM ALOCAÇÃO SISTEMÁTICA FUNDO DE INVESTIMENTO MULTIMERCADO PRÊMIO DE RISCO ALTERNATIVO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;201489.34;;;Outros;999 X 999
FI;44.704.779/0001-00;BRAM GLOBAL FUNDO DE INVESTIMENTO MULTIMERCADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;43687.33;;;Outros;999 X 999
